"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error"
"    $500 to $599","4.0%","±0.3","5.7%","±0.6","1.9%","±0.4","5.4%","±1.2","5.5%","±1.8","5.2%","±2.0","4.0%","±0.4","6.2%","±0.7","1.3%","±0.4","4.5%","±1.8","5.0%","±2.1","3.6%","±2.8","2.6%","±0.9","3.2%","±1.2","1.8%","±1.4"
"    $600 to $699","3.6%","±0.3","4.3%","±0.5","2.7%","±0.5","3.8%","±1.2","3.2%","±1.2","5.0%","±2.7","3.5%","±0.3","4.6%","±0.6","2.1%","±0.5","4.0%","±2.0","3.8%","±1.8","4.3%","±4.1","4.2%","±1.5","4.4%","±1.9","3.9%","±2.2"
"    $700 to $799","3.7%","±0.4","3.6%","±0.5","3.8%","±0.7","3.8%","±1.1","2.1%","±1.0","7.2%","±3.0","3.9%","±0.5","4.4%","±0.7","3.3%","±0.7","2.5%","±1.4","2.5%","±1.6","2.6%","±1.9","3.1%","±1.1","2.2%","±1.0","4.3%","±2.3"
"    $800 to $899","3.1%","±0.4","2.9%","±0.4","3.4%","±0.5","3.5%","±1.2","2.5%","±1.1","5.5%","±2.4","3.0%","±0.4","2.9%","±0.5","3.1%","±0.6","3.4%","±1.9","3.5%","±2.0","3.1%","±3.1","3.0%","±1.1","2.7%","±1.4","3.4%","±1.9"
"    $900 to $999","3.7%","±0.4","2.3%","±0.4","5.5%","±0.8","4.6%","±1.3","3.1%","±1.4","7.4%","±3.3","3.4%","±0.5","2.0%","±0.4","5.1%","±0.9","3.4%","±2.0","1.9%","±1.5","5.9%","±4.4","4.7%","±1.5","3.5%","±1.5","6.2%","±2.5"
"    $1,000 to $1,499","18.7%","±0.9","10.8%","±0.8","29.2%","±1.8","22.0%","±2.5","17.1%","±2.6","31.5%","±5.1","17.8%","±1.1","9.3%","±1.0","28.0%","±2.0","17.5%","±3.3","9.0%","±2.6","33.2%","±7.4","20.3%","±2.8","10.8%","±2.3","33.1%","±6.1"
"    $1,500 to $1,999","15.6%","±0.7","13.8%","±0.9","17.9%","±1.4","12.6%","±2.1","15.3%","±2.8","7.3%","±2.5","16.3%","±0.8","13.7%","±1.0","19.3%","±1.8","16.9%","±3.2","15.6%","±4.0","19.3%","±6.2","14.7%","±2.6","11.5%","±2.5","18.8%","±4.8"
"    $2,000 or more","32.7%","±0.9","40.4%","±1.3","22.5%","±1.5","15.7%","±2.2","21.3%","±2.8","4.8%","±2.5","37.0%","±1.1","45.3%","±1.6","27.3%","±1.9","28.8%","±4.3","38.9%","±5.6","10.5%","±3.7","29.6%","±3.1","41.0%","±3.9","14.4%","±4.0"
"    No cash rent","3.0%","±0.4","(X)","(X)","7.0%","±0.8","5.7%","±1.5","(X)","(X)","16.8%","±4.3","2.3%","±0.4","(X)","(X)","5.1%","±0.8","2.8%","±1.2","(X)","(X)","7.8%","±3.4","4.0%","±1.2","(X)","(X)","9.2%","±2.8"
"    Median (dollars)","1,494","±29","1,646","±51","1,379","±29","1,069","±48","1,121","±109","1,027","±64","1,631","±31","1,819","±63","1,483","±37","1,367","±187","1,642","±156","1,186","±65","1,392","±96","1,596","±151","1,241","±75"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $20,000","11.7%","±0.9","7.7%","±0.8","17.1%","±1.6","19.9%","±2.9","16.1%","±3.3","27.3%","±5.4","9.9%","±0.9","5.6%","±0.8","15.0%","±1.6","11.7%","±3.3","9.6%","±3.5","15.6%","±6.1","12.7%","±2.5","6.6%","±1.7","20.8%","±4.6"
"        Less than 20 percent","0.6%","±0.2","0.8%","±0.3","0.4%","±0.2","2.1%","±1.0","3.0%","±1.5","0.4%","±0.6","0.3%","±0.1","0.1%","±0.1","0.4%","±0.3","1.0%","±0.7","1.0%","±0.9","1.0%","±1.3","0.6%","±0.5","0.9%","±0.7","0.2%","±0.3"
"        20 to 29 percent","1.0%","±0.2","0.5%","±0.2","1.5%","±0.4","1.9%","±0.8","1.3%","±0.7","3.1%","±1.8","0.8%","±0.2","0.4%","±0.1","1.4%","±0.4","1.0%","±0.8","0.7%","±1.0","1.4%","±1.5","0.5%","±0.3","0.3%","±0.3","0.8%","±0.7"
"        30 percent or more","10.2%","±0.8","6.4%","±0.7","15.1%","±1.5","15.8%","±2.7","11.7%","±2.9","23.7%","±5.3","8.8%","±0.8","5.1%","±0.7","13.1%","±1.6","9.8%","±3.1","7.9%","±3.3","13.2%","±5.8","11.6%","±2.5","5.4%","±1.6","19.9%","±4.7"
"    $20,000 to $34,999","10.5%","±0.7","7.9%","±0.8","14.0%","±1.2","12.1%","±2.1","11.6%","±2.6","13.1%","±4.1","10.2%","±0.7","7.0%","±0.7","13.9%","±1.3","10.8%","±3.0","6.8%","±2.5","18.0%","±7.4","10.2%","±2.1","7.6%","±2.1","13.7%","±3.7"
"        Less than 20 percent","1.4%","±0.3","2.0%","±0.4","0.6%","±0.2","3.2%","±1.3","4.4%","±1.7","1.0%","±1.1","0.9%","±0.2","1.3%","±0.3","0.5%","±0.2","2.3%","±1.1","3.3%","±1.7","0.5%","±0.7","1.4%","±0.7","2.0%","±1.0","0.6%","±0.7"
