"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"        20 to 29 percent","7,498","1.6%","3,395","1.3%","4,103","2.2%","2,024","2.9%","1,124","2.4%","900","4.0%","4,185","1.3%","1,854","1.1%","2,331","1.7%","138","0.6%","109","0.8%","29","0.3%","1,151","2.1%","308","1.0%","843","3.8%"
"        30 percent or more","28,967","6.3%","11,010","4.1%","17,957","9.5%","3,330","4.8%","1,548","3.3%","1,782","7.9%","21,379","6.8%","7,536","4.3%","13,843","10.2%","1,155","5.0%","668","4.7%","487","5.5%","3,103","5.8%","1,258","4.0%","1,845","8.3%"
"    $50,000 to $74,999","71,262","15.6%","38,523","14.4%","32,739","17.2%","11,085","16.1%","7,932","17.1%","3,153","14.0%","48,830","15.6%","24,572","13.9%","24,258","17.8%","2,895","12.6%","1,310","9.2%","1,585","18.0%","8,440","15.8%","4,709","15.0%","3,731","16.8%"
"        Less than 20 percent","21,136","4.6%","16,665","6.2%","4,471","2.4%","5,576","8.1%","4,263","9.2%","1,313","5.8%","12,449","4.0%","9,722","5.5%","2,727","2.0%","652","2.8%","561","4.0%","91","1.0%","2,447","4.6%","2,119","6.8%","328","1.5%"
"        20 to 29 percent","16,031","3.5%","6,750","2.5%","9,281","4.9%","2,191","3.2%","1,570","3.4%","621","2.8%","11,256","3.6%","4,414","2.5%","6,842","5.0%","587","2.6%","257","1.8%","330","3.8%","1,997","3.7%","509","1.6%","1,488","6.7%"
"        30 percent or more","34,095","7.4%","15,108","5.6%","18,987","10.0%","3,318","4.8%","2,099","4.5%","1,219","5.4%","25,125","8.0%","10,436","5.9%","14,689","10.8%","1,656","7.2%","492","3.5%","1,164","13.2%","3,996","7.5%","2,081","6.6%","1,915","8.6%"
"    $75,000 or more","233,515","51.0%","166,772","62.2%","66,743","35.1%","26,309","38.2%","21,203","45.8%","5,106","22.6%","167,006","53.4%","115,946","65.8%","51,060","37.5%","12,269","53.4%","9,094","64.1%","3,175","36.1%","27,931","52.1%","20,529","65.6%","7,402","33.3%"
"        Less than 20 percent","126,895","27.7%","98,073","36.6%","28,822","15.2%","18,268","26.5%","14,631","31.6%","3,637","16.1%","85,641","27.4%","66,067","37.5%","19,574","14.4%","7,467","32.5%","5,608","39.5%","1,859","21.1%","15,519","29.0%","11,767","37.6%","3,752","16.9%"
"        20 to 29 percent","61,599","13.4%","39,754","14.8%","21,845","11.5%","5,221","7.6%","4,037","8.7%","1,184","5.2%","46,589","14.9%","29,457","16.7%","17,132","12.6%","2,798","12.2%","1,854","13.1%","944","10.7%","6,991","13.1%","4,406","14.1%","2,585","11.6%"
"        30 percent or more","45,021","9.8%","28,945","10.8%","16,076","8.5%","2,820","4.1%","2,535","5.5%","285","1.3%","34,776","11.1%","20,422","11.6%","14,354","10.5%","2,004","8.7%","1,632","11.5%","372","4.2%","5,421","10.1%","4,356","13.9%","1,065","4.8%"
"    Zero or negative income","5,611","1.2%","2,977","1.1%","2,634","1.4%","1,526","2.2%","883","1.9%","643","2.9%","3,134","1.0%","1,711","1.0%","1,423","1.0%","422","1.8%","174","1.2%","248","2.8%","529","1.0%","209","0.7%","320","1.4%"
"    No cash rent","12,488","2.7%","(X)","(X)","12,488","6.6%","3,180","4.6%","(X)","(X)","3,180","14.1%","6,125","2.0%","(X)","(X)","6,125","4.5%","970","4.2%","(X)","(X)","970","11.0%","2,169","4.0%","(X)","(X)","2,169","9.7%"
